,Jets,Sharks,20s,30s,40s,JH,HS,COL,Single,Married,Divorced,Bookie ,Burglar,Pusher
Art,1,,,,1,1,,,1,,,,,1
Al,1,,,1,,1,,,,1,,,1,
Sam,1,,1,,,,,1,1,,,1,,
Clyde,1,,,,1,1,,,1,,,1,,
Mike,1,,,1,,1,,,1,,,1,,
Jim,1,,1,,,1,,,,,1`,,1,
Greg,1,,1,,,,,,,1,,,,1
John,1,,1,,,1,,,,1,,,1,
Doug,1,,,1,,,1,,1,,,1,,
Lance,1,,1,,,1,,,,1,,,1,
George,1,,1,,,1,,,,,1`,,1,
Pete,1,,1,,,,1,,1,,,1,,
Fred,1,,1,,,,1,,1,,,,,1
Gene,1,,1,,,,,1,1,,,,,1
Ralph,1,,,1,,1,,,1,,,,,1
Phil,,1,,1,,,,1,,1,,,,1
Ike,,1,,1,,1,,,1,,,1,,
Nick,,1,,1,,,1,,1,,,,,1
Don,,1,,1,,,,1,,1,,,1,
Ned,,1,,1,,,,1,,1,,1,,
Karl,,1,,,1,,1,,,1,,1,,
Ken,,1,1,,,,1,,1,,,,1,
Earl,,1,,,1,,1,,,1,,,1,
Rick,,1,,1,,,1,,,,1`,,1,
Ol,,1,,1,,,,1,,1,,,,1
Neal,,1,,1,,,1,,1,,,1,,
Dave,,1,,1,,,1,,,,1,,,1
