Art,Jets,40s,JH,Single,Pusher
Al,Jets,30s,JH,Married,Burglar
Sam,Jets,20s,COL,Single,Bookie
Clyde,Jets,40s,JH,Single,Bookie
Mike,Jets,30s,JH,Single,Bookie
Jim,Jets,20s,JH,Divorced,Burglar
Greg,Jets,20s,HS,Married,Pusher
John,Jets,20s,JH,Married,Burglar
Doug,Jets,30s,HS,Single,Bookie
Lance,Jets,20s,JH,Married,Burglar
George,Jets,20s,JH,Divorced,Burglar
Pete,Jets,20s,HS,Single,Bookie
Fred,Jets,20s,HS,Single,Pusher
Gene,Jets,20s,COL,Single,Pusher
Ralph,Jets,30s,JH,Single,Pusher
Phil,Sharks,30s,COL,Married,Pusher
Ike,Sharks,30s,JH,Single,Bookie
Nick,Sharks,30s,HS,Single,Pusher
Don,Sharks,30s,COL,Married,Burglar
Ned,Sharks,30s,COL,Married,Bookie
Karl,Sharks,40s,HS,Married,Bookie
Ken,Sharks,20s,HS,Single,Burglar
Earl,Sharks,40s,HS,Married,Burglar
Rick,Sharks,30s,HS,Divorced,Burglar
Ol,Sharks,30s,COL,Married,Pusher
Neal,Sharks,30s,HS,Single,Bookie
Dave,Sharks,30s,HS,Divorced,Pusher
